titulo,vinculo,resumen
b'The mental health of foreign students',b'https://www.sciencedirect.com/science/article/pii/0277953683902393',"b'Because of the psychological stress associated with university life and the physical and mental stress associated with migration, researchers have become interested in psychological problems of foreign students. In this study four groups of foreign students from\xc2\xa0\xe2\x80\xa6'"
b'Mental health: a world of depression',b'https://www.nature.com/articles/515180a',"b""Depression is a major human blight. Globally, it is responsible for more 'years lost'to disability than any other condition. This is largely because so many people suffer from it\xe2\x80\x94some 350 million, according to the World Health Organization\xe2\x80\x94and the fact that it lasts for\xc2\xa0\xe2\x80\xa6"""
b'Economic crisis and mental health',b'https://journals.lww.com/co-psychiatry/Fulltext/2010/03000/Economic_crisis_and_mental_health.9.aspx',b'The Asian economic crisis led to a sharp unemployment-related increase in suicide mortality in east Asian countries. In European Union countries rising unemployment was associated with significant short-term increases in premature deaths from intentional violence including\xc2\xa0\xe2\x80\xa6'
b'[HTML][HTML] Religion and mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3705681/',"b'In this chapter, the relation between religion and mental health and vice versa has been described. From primitive times different religions have different beliefs and systems of worshipping. Every religion with their belief system has implications on mental health and\xc2\xa0\xe2\x80\xa6'"
b'Racial and ethnic differences in the mental health problems and use of mental health care',b'https://www.jstor.org/stable/3768295',"b'Objectives: We compared rates of mental health problems and use of mental health care across multiple racial and ethnic groups using secondary data from a large, nationally representative survey. Methods: We pooled cross-sectional data from the 2001-2003\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] e-Mental health',b'https://content.schweitzer-online.de/static/catalog_manager/live/media_files/representation/zd_std_orig__zd_schw_orig/000/271/572/9783319208527_content_pdf_1.pdf',"b'Dear Readers, This is the book on e-mental health, which is the use of telecommunication and information technologies to deliver mental health services at a distance. The oldest and most comprehensive form of e-mental health is telepsychiatry\xe2\x80\x93videoconferencing in \xe2\x80\x9creal\xc2\xa0\xe2\x80\xa6'"
b'Virtual reality in mental health',b'https://link.springer.com/content/pdf/10.1007/s00127-007-0173-4.pdf',"b'Background Several virtual reality (VR) applications for the understanding, assessment and treatment of mental health problems have been developed in the last 10 years. The purpose of this review is to outline the current state of virtual reality research in the treatment of\xc2\xa0\xe2\x80\xa6'"
b'Results from the 2011 national survey on drug use and health: mental health findings',b'https://www.hsdl.org/?abstract&did=730763',"b'This report presents results pertaining to mental health from the 2011 National Survey on Drug Use and Health (NSDUH), an annual survey of the civilian, noninstitutionalized population of the United States aged 12 years old or older. This report presents national\xc2\xa0\xe2\x80\xa6'"
b'Postpsychiatry: a new direction for mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1119907/',"b'Government policies are beginning to change the ethos of mental health care in Britain. The new commitment to tackling the links between poverty, unemployment, and mental illness has led to policies that focus on disadvantage and social exclusion. 1 These emphasise the\xc2\xa0\xe2\x80\xa6'"
b'The mental health of refugee children',b'https://adc.bmj.com/content/archdischild/87/5/366.full.pdf',"b'The UK is facing a major increase in the number of people seeking asylum each year, of whom approximately a quarter are children. The stressors to which refugees are exposed are described in three stages:(1) while in their country of origin;(2) during their flight to\xc2\xa0\xe2\x80\xa6'"
b'Rural mental health in America.',b'https://psycnet.apa.org/record/1991-19431-001',"b'Mental health services are in short supply in rural America. This article describes both the mental health service needs in rural areas and the barriers to improving the availability, accessibility, and acceptability of rural mental health services. Federal programs in rural\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Policy options on mental health: a WHO-Gulbenkian Mental Health Platform collaboration',b'https://apps.who.int/iris/bitstream/handle/10665/259406/9789241513296-eng.pdf',"b'WHO defines mental health as a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to contribute to their community. Mental disorders encompass a wide\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Personal recovery and mental illness: A guide for mental health professionals',b'https://books.google.com/books?hl=es&lr=&id=_kMnaUMiJXUC&oi=fnd&pg=PR1&dq=mental+health%0A&ots=zcHYkrwhP2&sig=aNESTKiMNPLDdlegvKdzyfATUmw',"b'Recovery is a concept which has emerged from the experiences of people with mental illness. It involves a shift away from traditional clinical preoccupations such as managing risk and avoiding relapse, towards new priorities of supporting the person in working towards\xc2\xa0\xe2\x80\xa6'"
b'Mental health and environment.',b'https://www.cabdirect.org/cabdirect/abstract/19642703279',"b'This book reports the results of an extensive field survey carried out to test the\nhypothesis that social planning could reduce the incidence of neurosis in a community.\nPrevious surveys have shown that mental illness, particularly in its neurotic\xc2\xa0\xe2\x80\xa6'"
"b'[LIBRO][B] Mental health, race and culture'",b'https://books.google.com/books?hl=es&lr=&id=9-gcBQAAQBAJ&oi=fnd&pg=PR11&dq=mental+health%0A&ots=bCVGmwcmGP&sig=x_7xyb4Rma-RCvc8MVsV5dvrjbk',"b'This powerful text offers a unique analysis of the impact of race and culture on contemporary issues in mental health. Drawing on extensive international experience, Fernando challenges the traditional ideas that inform practice in clinical psychology and psychiatry in\xc2\xa0\xe2\x80\xa6'"
b'Global mental health: a new global health field comes of age',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3432444/',"b'GLOBAL HEALTH IS \xe2\x80\x9cAN AREA FOR STUDY, RESEARCH and practice that places a priority on improving health and achieving equity in health for all people worldwide.\xe2\x80\x9d 1 Global mental health is the application of these principles to the domain of mental ill health\xc2\xa0\xe2\x80\xa6'"
b'School mental health resources and adolescent mental health service use',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902042/',"b'Objective Although schools are identified as critical for detecting youth mental disorders, little is known about whether the number of mental health providers and types of resources that they offer influence student mental health service use. Such information could inform the\xc2\xa0\xe2\x80\xa6'"
b'Mental health disparities',b'https://ajph.aphapublications.org/doi/pdfplus/10.2105/AJPH.2009.167346',"b'Mental health disparities have received increased attention in the literature in recent years. After considering 165 different health disparity conditions, the Federal Collaborative for Health Disparities Research chose mental health disparity as one of four topics warranting\xc2\xa0\xe2\x80\xa6'"
b'Housing quality and mental health.',b'https://www.researchgate.net/profile/Nancy_Wells2/publication/12434686_Housing_and_mental_health/links/5b27a8c7aca2723fbef051ba/Housing-and-mental-health.pdf',"b'This study examined the potential link between housing quality and mental health. First, the development of a psychometrically sound, observer-based instrument to assess physical housing quality in ways conceptually relevant to psychological health is reported. Then 2\xc2\xa0\xe2\x80\xa6'"
"b'Men, management, and mental health.'",b'https://psycnet.apa.org/record/1962-35064-000',"b'A report of a survey by a team of psychiatrists and social scientists from the Menninger Foundation at a large public utility company, this volume examines the relationships between work and mental health. Harvard Book List (edited) 1964# 650 (PsycINFO\xc2\xa0\xe2\x80\xa6'"
b'Mental health services in the Arab world',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266748/',"b'This paper summarizes the current situation of mental health services in the Arab world. Out of 20 countries for which information is available, six do not have a mental health legislation and two do not have a mental health policy. Three countries (Lebanon, Kuwait and Bahrain)\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Mental health policy development in Africa',b'https://www.scielosp.org/article/bwho/2000.v78n4/475-482/pt/',"b'Mental health issues are usually given very low priority in health service policies. Although this is changing, African countries are still confronted with so many problems caused by communicable diseases and malnutrition that they have not woken up to the impact of\xc2\xa0\xe2\x80\xa6'"
b'Mental health promotion and mental illness prevention: The economic case',b'http://eprints.lse.ac.uk/32311/1/Knapp_et_al__MHPP_The_Economic_Case.pdf',"b'Mental ill health is the largest single cause of disability in the UK, contributing almost 23% of the overall burden of disease compared to about 16% each for cancer and cardiovascular disease. The economic and social costs of mental health problems in England are estimated\xc2\xa0\xe2\x80\xa6'"
b'Mental health stigma and primary health care decisions',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4363991/',"b'People with serious mental illness have higher rates of mortality and morbidity due to physical illness. In part, this occurs because primary care and other health providers sometimes make decisions contrary to typical care standards. This might occur because\xc2\xa0\xe2\x80\xa6'"
b'Preventive strategies for mental health',b'http://eprints.lse.ac.uk/88090/1/McDaid_Preventative%20Strategies_Accepted.pdf',"b'Available treatment methods have shown little effect on the burden associated with mental health disorders. We review promising universal, selective, and indicated preventive mental health strategies that might reduce the incidence of mental health disorders, or shift\xc2\xa0\xe2\x80\xa6'"
